"Collection.Year","ST.Achtman.7.Gene.MLST.","Assembly.barcode.Assembly.stats.","blaTEM-1B_1","blaCTX-M-15_1","ST_20","ST_100"
1994,200,"ESC_AA2172AA_AS",0,0,"200","200"
2008,200,"ESC_AA2173AA_AS",0,0,"200","200"
1994,200,"ESC_AA2174AA_AS",0,0,"200","200"
1995,200,"ESC_AA2175AA_AS",0,0,"200","200"
2008,200,"ESC_AA2176AA_AS",0,0,"200","200"
1995,200,"ESC_AA2177AA_AS",0,0,"200","200"
1994,200,"ESC_AA2179AA_AS",0,0,"200","200"
2008,205,"ESC_AA2186AA_AS",0,0,"Other","Other"
2010,206,"ESC_AA2193AA_AS",0,0,"Other","206"
2013,226,"ESC_AA2248AA_AS",0,0,"Other","Other"
2013,227,"ESC_AA2252AA_AS",0,0,"Other","Other"
1994,278,"ESC_AA2314AA_AS",0,0,"Other","278"
1995,278,"ESC_AA2317AA_AS",0,0,"Other","278"
1994,278,"ESC_AA2318AA_AS",0,0,"Other","278"
1995,278,"ESC_AA2319AA_AS",0,0,"Other","278"
2013,278,"ESC_AA2320AA_AS",0,0,"Other","278"
2013,278,"ESC_AA2321AA_AS",0,0,"Other","278"
1995,278,"ESC_AA2322AA_AS",0,0,"Other","278"
2013,295,"ESC_AA2347AA_AS",0,0,"Other","295"
2008,295,"ESC_AA2352AA_AS",0,0,"Other","295"
1994,295,"ESC_AA2356AA_AS",0,0,"Other","295"
2009,295,"ESC_AA2357AA_AS",0,0,"Other","295"
1989,295,"ESC_AA2358AA_AS",0,0,"Other","295"
1993,295,"ESC_AA2364AA_AS",0,0,"Other","295"
2008,297,"ESC_AA2374AA_AS",0,0,"Other","297"
2012,329,"ESC_AA2477AA_AS",0,0,"Other","Other"
2009,372,"ESC_AA2654AA_AS",0,0,"Other","372"
2009,393,"ESC_AA2704AA_AS",0,0,"Other","Other"
2008,393,"ESC_AA2707AA_AS",0,0,"Other","Other"
1994,394,"ESC_AA2711AA_AS",0,0,"Other","Other"
2001,396,"ESC_AA2738AA_AS",0,0,"Other","Other"
2002,398,"ESC_AA2743AA_AS",0,0,"Other","Other"
2008,404,"ESC_AA2756AA_AS",0,0,"Other","404"
2009,405,"ESC_AA2786AA_AS",0,0,"Other","405"
1995,414,"ESC_AA2818AA_AS",0,0,"Other","Other"
1987,414,"ESC_AA2820AA_AS",0,0,"Other","Other"
2009,420,"ESC_AA2829AA_AS",0,0,"Other","Other"
2009,421,"ESC_AA2839AA_AS",0,0,"Other","Other"
2008,429,"ESC_AA2859AA_AS",0,0,"Other","Other"
1995,449,"ESC_AA2891AA_AS",0,0,"Other","Other"
1994,501,"ESC_AA2974AA_AS",0,0,"Other","Other"
1993,501,"ESC_AA2976AA_AS",0,0,"Other","Other"
2009,504,"ESC_AA2979AA_AS",0,0,"Other","504"
2008,538,"ESC_AA3009AA_AS",0,0,"Other","Other"
2008,538,"ESC_AA3011AA_AS",0,0,"Other","Other"
2009,550,"ESC_AA3037AA_AS",0,0,"Other","Other"
2008,607,"ESC_AA3110AA_AS",0,0,"Other","Other"
2009,648,"ESC_AA3178AA_AS",0,0,"Other","648"
1994,746,"ESC_AA3350AA_AS",0,0,"Other","746"
1994,746,"ESC_AA3352AA_AS",0,0,"Other","746"
2013,746,"ESC_AA3356AA_AS",0,0,"Other","746"
2008,929,"ESC_AA3515AA_AS",0,0,"Other","Other"
2008,962,"ESC_AA3549AA_AS",0,0,"Other","Other"
2008,999,"ESC_AA3606AA_AS",0,0,"Other","Other"
2008,999,"ESC_AA3607AA_AS",0,0,"Other","Other"
2008,1000,"ESC_AA3608AA_AS",0,0,"Other","Other"
2008,1001,"ESC_AA3610AA_AS",0,0,"Other","Other"
2008,1002,"ESC_AA3611AA_AS",0,0,"Other","Other"
2008,1003,"ESC_AA3612AA_AS",0,0,"Other","Other"
2008,1005,"ESC_AA3613AA_AS",0,0,"Other","Other"
2008,1049,"ESC_AA3660AA_AS",0,0,"Other","Other"
2008,1058,"ESC_AA3671AA_AS",0,0,"Other","Other"
2006,1079,"ESC_AA3691AA_AS",0,0,"Other","Other"
1999,1080,"ESC_AA3694AA_AS",0,0,"Other","Other"
1999,1081,"ESC_AA3695AA_AS",0,0,"Other","Other"
2000,1083,"ESC_AA3698AA_AS",0,0,"Other","Other"
2004,1086,"ESC_AA3701AA_AS",0,0,"Other","Other"
2003,1131,"ESC_AA3757AA_AS",0,0,"Other","Other"
2009,1262,"ESC_AA3889AA_AS",0,0,"Other","Other"
2008,1262,"ESC_AA3890AA_AS",0,0,"Other","Other"
2009,1262,"ESC_AA3891AA_AS",0,0,"Other","Other"
2008,1297,"ESC_AA3930AA_AS",0,0,"Other","Other"
2008,1304,"ESC_AA3939AA_AS",0,0,"Other","Other"
2009,1431,"ESC_AA4091AA_AS",0,0,"Other","Other"
2008,1461,"ESC_AA4122AA_AS",0,0,"Other","Other"
2008,1514,"ESC_AA4177AA_AS",0,0,"Other","Other"
2008,1515,"ESC_AA4178AA_AS",0,0,"Other","Other"
2008,1517,"ESC_AA4180AA_AS",0,0,"Other","Other"
2008,1518,"ESC_AA4181AA_AS",0,0,"Other","Other"
2008,1523,"ESC_AA4186AA_AS",0,0,"Other","Other"
2009,1524,"ESC_AA4188AA_AS",0,0,"Other","Other"
2009,1525,"ESC_AA4189AA_AS",0,0,"Other","Other"
2009,1526,"ESC_AA4190AA_AS",0,0,"Other","Other"
2009,1527,"ESC_AA4191AA_AS",0,0,"Other","Other"
2009,1528,"ESC_AA4192AA_AS",0,0,"Other","Other"
2009,1529,"ESC_AA4193AA_AS",0,0,"Other","Other"
2009,1530,"ESC_AA4194AA_AS",0,0,"Other","Other"
2009,1531,"ESC_AA4195AA_AS",0,0,"Other","Other"
2009,1532,"ESC_AA4196AA_AS",0,0,"Other","Other"
2009,1533,"ESC_AA4197AA_AS",0,0,"Other","Other"
2009,1534,"ESC_AA4198AA_AS",0,0,"Other","Other"
2009,1535,"ESC_AA4199AA_AS",0,0,"Other","Other"
2009,1536,"ESC_AA4200AA_AS",0,0,"Other","Other"
2009,1537,"ESC_AA4201AA_AS",0,0,"Other","Other"
2009,1538,"ESC_AA4202AA_AS",0,0,"Other","Other"
2009,1539,"ESC_AA4203AA_AS",0,0,"Other","Other"
2009,1540,"ESC_AA4204AA_AS",0,0,"Other","Other"
2009,1541,"ESC_AA4205AA_AS",0,0,"Other","Other"
2009,1542,"ESC_AA4206AA_AS",0,0,"Other","Other"
2009,1543,"ESC_AA4207AA_AS",0,0,"Other","Other"
2009,1544,"ESC_AA4208AA_AS",0,0,"Other","Other"
2009,1545,"ESC_AA4209AA_AS",0,0,"Other","Other"
2009,1546,"ESC_AA4210AA_AS",0,0,"Other","Other"
2009,1547,"ESC_AA4211AA_AS",0,0,"Other","Other"
2009,1548,"ESC_AA4212AA_AS",0,0,"Other","Other"
2008,1549,"ESC_AA4213AA_AS",0,0,"Other","Other"
2008,1551,"ESC_AA4214AA_AS",0,0,"Other","Other"
2007,1567,"ESC_AA4229AA_AS",0,0,"Other","Other"
2007,1567,"ESC_AA4230AA_AS",0,0,"Other","Other"
2008,1567,"ESC_AA4231AA_AS",0,0,"Other","Other"
2008,1801,"ESC_AA4483AA_AS",0,0,"Other","Other"
2008,1801,"ESC_AA4485AA_AS",0,0,"Other","Other"
2008,1801,"ESC_AA4486AA_AS",0,0,"Other","Other"
2008,1972,"ESC_AA4640AA_AS",0,0,"Other","Other"
2008,1973,"ESC_AA4641AA_AS",0,0,"Other","Other"
2008,1974,"ESC_AA4642AA_AS",0,0,"Other","Other"
2008,1975,"ESC_AA4643AA_AS",0,0,"Other","Other"
2008,1976,"ESC_AA4644AA_AS",0,0,"Other","Other"
2008,1978,"ESC_AA4645AA_AS",0,0,"Other","Other"
2008,1979,"ESC_AA4646AA_AS",0,0,"Other","Other"
2009,1981,"ESC_AA4647AA_AS",0,0,"Other","Other"
2009,1982,"ESC_AA4648AA_AS",0,0,"Other","Other"
2008,1983,"ESC_AA4649AA_AS",0,0,"Other","Other"
2008,1984,"ESC_AA4650AA_AS",0,0,"Other","Other"
2008,1985,"ESC_AA4651AA_AS",0,0,"Other","Other"
2008,2045,"ESC_AA4710AA_AS",0,0,"Other","Other"
2008,2046,"ESC_AA4711AA_AS",0,0,"Other","Other"
2008,2046,"ESC_AA4712AA_AS",0,0,"Other","Other"
2008,2047,"ESC_AA4713AA_AS",0,0,"Other","Other"
2008,2048,"ESC_AA4714AA_AS",0,0,"Other","Other"
2008,2049,"ESC_AA4715AA_AS",0,0,"Other","Other"
2008,2050,"ESC_AA4716AA_AS",0,0,"Other","Other"
2008,2051,"ESC_AA4717AA_AS",0,0,"Other","Other"
2008,2052,"ESC_AA4718AA_AS",0,0,"Other","Other"
2008,2053,"ESC_AA4719AA_AS",0,0,"Other","Other"
2008,2054,"ESC_AA4720AA_AS",0,0,"Other","Other"
2008,2055,"ESC_AA4721AA_AS",0,0,"Other","Other"
2008,2056,"ESC_AA4722AA_AS",0,0,"Other","Other"
2008,2057,"ESC_AA4723AA_AS",0,0,"Other","Other"
2008,2058,"ESC_AA4724AA_AS",0,0,"Other","Other"
2008,2059,"ESC_AA4725AA_AS",0,0,"Other","Other"
2008,2060,"ESC_AA4726AA_AS",0,0,"Other","Other"
2008,2061,"ESC_AA4727AA_AS",0,0,"Other","Other"
2008,2061,"ESC_AA4728AA_AS",0,0,"Other","Other"
2009,2076,"ESC_AA4744AA_AS",0,0,"Other","Other"
2011,2459,"ESC_AA5107AA_AS",0,0,"Other","Other"
2011,2978,"ESC_AA5610AA_AS",0,0,"Other","Other"
2011,2979,"ESC_AA5611AA_AS",0,0,"Other","Other"
2011,2980,"ESC_AA5612AA_AS",0,0,"Other","Other"
2011,2981,"ESC_AA5613AA_AS",0,0,"Other","Other"
2011,2983,"ESC_AA5615AA_AS",0,0,"Other","Other"
2011,2984,"ESC_AA5616AA_AS",0,0,"Other","Other"
2011,2986,"ESC_AA5617AA_AS",0,0,"Other","Other"
2011,2987,"ESC_AA5618AA_AS",0,0,"Other","Other"
2011,2988,"ESC_AA5619AA_AS",0,0,"Other","Other"
2011,2989,"ESC_AA5620AA_AS",0,0,"Other","Other"
2011,2990,"ESC_AA5621AA_AS",0,0,"Other","Other"
2011,2991,"ESC_AA5622AA_AS",0,0,"Other","Other"
2011,2992,"ESC_AA5623AA_AS",0,0,"Other","Other"
2011,2993,"ESC_AA5624AA_AS",0,0,"Other","Other"
2011,2994,"ESC_AA5625AA_AS",0,0,"Other","Other"
2011,2995,"ESC_AA5626AA_AS",0,0,"Other","Other"
2011,2996,"ESC_AA5627AA_AS",0,0,"Other","Other"
2011,2997,"ESC_AA5628AA_AS",0,0,"Other","Other"
2011,2998,"ESC_AA5629AA_AS",0,0,"Other","Other"
2011,2999,"ESC_AA5630AA_AS",0,0,"Other","Other"
2011,3000,"ESC_AA5631AA_AS",0,0,"Other","Other"
2011,3001,"ESC_AA5632AA_AS",0,0,"Other","Other"
2011,3002,"ESC_AA5633AA_AS",0,0,"Other","Other"
2011,3003,"ESC_AA5634AA_AS",0,0,"Other","Other"
2011,3004,"ESC_AA5635AA_AS",0,0,"Other","Other"
2011,3005,"ESC_AA5636AA_AS",0,0,"Other","Other"
2011,3006,"ESC_AA5637AA_AS",0,0,"Other","Other"
2011,3007,"ESC_AA5638AA_AS",0,0,"Other","Other"
2011,3008,"ESC_AA5639AA_AS",0,0,"Other","Other"
2011,3009,"ESC_AA5640AA_AS",0,0,"Other","Other"
2011,3010,"ESC_AA5641AA_AS",0,0,"Other","Other"
2011,3265,"ESC_AA5884AA_AS",0,0,"Other","Other"
2009,3394,"ESC_AA6005AA_AS",0,0,"Other","Other"
2009,3396,"ESC_AA6007AA_AS",0,0,"Other","Other"
2009,3397,"ESC_AA6008AA_AS",0,0,"Other","Other"
2009,3398,"ESC_AA6009AA_AS",0,0,"Other","Other"
2012,3423,"ESC_AA6049AA_AS",0,0,"Other","Other"
2012,3424,"ESC_AA6050AA_AS",0,0,"Other","Other"
2012,3425,"ESC_AA6051AA_AS",0,0,"Other","Other"
2012,3426,"ESC_AA6052AA_AS",0,0,"Other","Other"
2012,3427,"ESC_AA6053AA_AS",0,0,"Other","Other"
2012,3428,"ESC_AA6054AA_AS",0,0,"Other","Other"
2012,3429,"ESC_AA6055AA_AS",0,0,"Other","Other"
2012,3430,"ESC_AA6056AA_AS",0,0,"Other","Other"
2012,3432,"ESC_AA6058AA_AS",0,0,"Other","Other"
2012,3433,"ESC_AA6059AA_AS",0,0,"Other","Other"
2012,3434,"ESC_AA6060AA_AS",0,0,"Other","Other"
2012,3435,"ESC_AA6061AA_AS",0,0,"Other","Other"
2012,3436,"ESC_AA6062AA_AS",0,0,"Other","Other"
2012,3437,"ESC_AA6063AA_AS",0,0,"Other","Other"
2012,3438,"ESC_AA6064AA_AS",0,0,"Other","Other"
2012,3439,"ESC_AA6065AA_AS",0,0,"Other","Other"
2012,3440,"ESC_AA6066AA_AS",0,0,"Other","Other"
2012,3441,"ESC_AA6067AA_AS",0,0,"Other","Other"
2012,3442,"ESC_AA6068AA_AS",0,0,"Other","Other"
2012,3443,"ESC_AA6069AA_AS",0,0,"Other","Other"
2012,3444,"ESC_AA6070AA_AS",0,0,"Other","Other"
2012,3445,"ESC_AA6071AA_AS",0,0,"Other","Other"
2012,3446,"ESC_AA6072AA_AS",0,0,"Other","Other"
2012,3447,"ESC_AA6073AA_AS",0,0,"Other","Other"
2012,3448,"ESC_AA6074AA_AS",0,0,"Other","Other"
2012,3449,"ESC_AA6075AA_AS",0,0,"Other","Other"
2012,3450,"ESC_AA6076AA_AS",0,0,"Other","Other"
2012,3451,"ESC_AA6077AA_AS",0,0,"Other","Other"
2012,3452,"ESC_AA6078AA_AS",0,0,"Other","Other"
2012,3453,"ESC_AA6079AA_AS",0,0,"Other","Other"
2012,3454,"ESC_AA6080AA_AS",0,0,"Other","Other"
2012,3455,"ESC_AA6081AA_AS",0,0,"Other","Other"
2012,3456,"ESC_AA6082AA_AS",0,0,"Other","Other"
2012,3457,"ESC_AA6083AA_AS",0,0,"Other","Other"
2012,3458,"ESC_AA6084AA_AS",0,0,"Other","Other"
2012,3459,"ESC_AA6085AA_AS",0,0,"Other","Other"
2012,3460,"ESC_AA6086AA_AS",0,0,"Other","Other"
2012,3461,"ESC_AA6087AA_AS",0,0,"Other","Other"
2012,3462,"ESC_AA6088AA_AS",0,0,"Other","Other"
2012,3463,"ESC_AA6089AA_AS",0,0,"Other","Other"
2012,3464,"ESC_AA6090AA_AS",0,0,"Other","Other"
2012,3465,"ESC_AA6091AA_AS",0,0,"Other","Other"
2012,3466,"ESC_AA6092AA_AS",0,0,"Other","Other"
2012,3467,"ESC_AA6093AA_AS",0,0,"Other","Other"
