Id,Run accession,popPUNK_cluster__autocolour,ST__autocolour,CC131_clades__autocolour,Duplicate__autocolour,year,Lab,Hospital name,Regional health authority,Regional health authority__colour,Latitude,Longitude,Clermont_Phylotype__autocolour,FimH__autocolor,folP__autocolour,gyrA__autocolour,parC__autocolour,gyrA_parC__autocolour,parE__autocolour,pmrB__autocolour,blaTEM1__autocolour,strB__autocolour,sul2__autocolour,strA__autocolour,sul1__autocolour,dfrA__autocolour,tetA__autocolour,tetB__autocolour,aadA__autocolour,mphA__autocolour,dfrA1__autocolour,aac3_Iia__autocolour,catA1__autocolour,dfrA5__autocolour,CTX-M-type__autocolour,CTX-M__autocolour,dfrA14__autocolour,blaOXA__autocolour,aph3__autocolour,catB3__autocolour,acc__autocolour,blaSHV__autocolour,dfrA12__autocolour,sul3__autocolour,cmlA1__autocolour,dfrA8__autocolour,C_mefB__autocolour,QnrS1__autocolour,floR__autocolour,Ampicillin_SIR,Aztreonam_SIR,Cefotaxim_SIR,Ceftazidim_SIR,Cefuroxim_SIR,Ciprofloxacin_SIR,Ciprofloxacin_NS,ESBL,Gentamicin_SIR,Meropenem_SIR,Nalidixin_SIR,Piperacillin_tazobactam_SIR,Sulfa_SIR,Tigecyklin_SIR,Tobramycin_SIR,Trimetoprim_sulfa_SIR,Ampicillin_SIR__colour,Aztreonam_SIR__colour,Cefotaxim_SIR__colour,Ceftazidim_SIR__colour,Cefuroxim_SIR__colour,Ciprofloxacin_SIR__colour,ESBL__colour,Gentamicin_SIR__colour,Meropenem_SIR__colour,Nalidixin_SIR__colour,Piperacillin_tazobactam_SIR__colour,Sulfa_SIR__colour,Tigecyklin_SIR__colour,Tobramycin_SIR__colour,Trimetoprim_sulfa_SIR__colour
30134_6_112,ERR4034094,3,69,,,2009,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,D,fimH27,,,,,,,blaTEM1,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD
30134_6_113,ERR4034095,9,135,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_115,ERR4034096,4,131,B,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH298,,gyrA.S83L,,gyrA,parE.I529L,,blaTEM1,,,,,,tetA_4,,aadA2,,,,,,,,,,,,,,dfrA12,sul3,cmlA1,,C-mefB-like,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,R,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#EDA247,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_116,ERR4034097,11,10,,,2010,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,A,fimH54,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,dfrA14,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#DB4325
30134_6_117,ERR4034098,2,95,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH27,,gyrA.S83L,,gyrA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_119,ERR4034099,4,131,C1,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH30,,"gyrA.D87N, gyrA.S83L","parC.E84V,parC.S80I",gyrA and parC,parE.I529L,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,R,R,NS,-         ,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#DB4325,#DB4325,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_120,ERR4034100,4,131,A,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH41,,,,,parE.I529L,pmrB.V161G,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_121,ERR4034101,3,69,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,D,fimH27,,,,,,,blaTEM1,,,,sul1,dfrA17,,,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_123,ERR4034102,11,10,,Duplicated in plate,2002,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,A,fimH54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_124,ERR4034103,8,127,,,2002,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_125,ERR4034104,11,34,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,A,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,,sul2,,,,tetA_4,,aadA2,,,,,,CTX-M-14,CTX-M,,,,,,,dfrA12,,cmlA1,,,,floR,R,,R,S,R,S,S,+,S,S,,S,,S,,R,#DB4325,,#DB4325,#57C4AD,#DB4325,#57C4AD,#DB4325,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_127,ERR4034105,13,59,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,F,fimH54,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_128,ERR4034106,12,88,,,2003,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,C,fimH39,,,,,,,blaTEM1,strB_3,sul2,strA_4,sul1,,tetA_4,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,,S,S,S,S,-         ,S,S,,S,,,,R,#DB4325,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#DB4325
30134_6_129,ERR4034107,2,95,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH27,,,,,,,blaTEM1,,,,,,,,aadA2,,,,,,,,,,,,,,dfrA12,sul3,cmlA1,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_131,ERR4034108,11,10,,Duplicated in plate,2010,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,A,fimH54,,"gyrA.D87N, gyrA.S83L",parC.S80I,gyrA and parC,parE.L416F,,blaTEM1,strB_1,sul2,strA_4,,,,tetB_4,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,R,R,NS,-         ,S,S,R,R,,S,,R,#DB4325,,#57C4AD,#57C4AD,#DB4325,#DB4325,,#57C4AD,#57C4AD,#DB4325,#DB4325,,#57C4AD,,#DB4325
30134_6_132,ERR4034109,11,43,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,A,fimH24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_135,ERR4034111,1,104,,,2006,Radiumhospitalet,Oslo universitetssykehus Radiumhospitalet,Helse Sør-Øst,#60C3AE,59.930411,10.661053,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#57C4AD
30134_6_136,ERR4034112,2,95,,,2005,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_137,ERR4034113,3,69,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,D,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_139,ERR4034114,1,73,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH10,,,,,,,,,,,sul1,,,,aadA2,,,,,,,,,,,,,blaSHV48,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_14,ERR4034037,32,355,,,2012,Tønsberg,Sykehuset i Vestfold,Helse Sør-Øst,#60C3AE,59.272456,10.418552,B2,fimH1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#EDA247,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_140,ERR4034115,1,73,,,2008,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD
30134_6_141,ERR4034116,5,80,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH1,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_143,ERR4034117,29,491,,,2017,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_144,ERR4034118,1,73,,,2009,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH30,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD
30134_6_145,ERR4034119,4,131,C1,Triplicate from patient same ST,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH30,,"gyrA.D87N, gyrA.S83L","parC.E84V,parC.S80I",gyrA and parC,parE.I529L,,,,,,,,,,,,,,,,CTX-M-27,CTX-M,,,,,,,,,,,,,,R,,S,S,S,R,NS,-,S,S,,S,,S,,S,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#DB4325,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_147,ERR4034120,72,10256,,,2017,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,#60C3AE,58.164255,7.981261,B1,not detected,,,,,,,blaTEM1,strB_1,sul2,strA_1,,dfrA17,,tetB_4,,,,,,,,,,,,,,,,,,,,,,R,,S,S,,S,S,,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_148,ERR4034121,1,73,,,2010,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH9,,,,,,,,,,,,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,R,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#DB4325
30134_6_149,ERR4034122,27,399,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,A,fimH34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_15,ERR4034038,10,91,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#EDA247,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_151,ERR4034123,18,405,,,2017,Haukeland,Haukeland universitetssykehus,Helse Vest,#02B0EE,60.374124,5.359513,D,fimH27,,"gyrA.D87N, gyrA.S83L",parC.S80I,gyrA and parC,parE.S458A,,,,,,sul1,dfrA17,,,,,,,,,CTX-M-15,CTX-M,,,,,,,,,,,,,,R,,R,R,,R,NS,+,S,S,,I,,S,,R,#DB4325,,#DB4325,#DB4325,,#DB4325,#DB4325,#57C4AD,#57C4AD,,#EDA247,,#57C4AD,,#DB4325
30134_6_152,ERR4034124,5,537,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH117,,,,,,,,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_153,ERR4034125,4,131,A,,2002,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH41,,,,,parE.I529L,,blaTEM1,,,,sul1,dfrA7,,tetB_4,,,,,catA1,,,,,,,,,,,,,,,,,R,,,S,S,S,S,-         ,S,S,,S,,,,R,#DB4325,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#DB4325
30134_6_154,ERR4034126,8,127,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_156,ERR4034127,9,135,,,2008,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD
30134_6_157,ERR4034128,1,73,,,2003,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_158,ERR4034129,1,73,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#57C4AD
30134_6_160,ERR4034130,2,95,,,2006,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B2,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,-         ,S,S,S,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,,,#57C4AD
30134_6_161,ERR4034131,2,95,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,B2,fimH15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_162,ERR4034132,3,69,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,dfrA5,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R,#DB4325,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,#57C4AD,,#DB4325
30134_6_164,ERR4034133,6,602,,,2005,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,#60C3AE,59.292224,11.096285,B1,fimH86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
30134_6_165,ERR4034134,13,59,,,2005,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,#F0837F,69.683086,18.982499,F,fimH41,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S,#57C4AD,,#57C4AD,#57C4AD,#57C4AD,#57C4AD,,#57C4AD,#57C4AD,,#57C4AD,,,,#57C4AD
