lane,Run accession,popPUNK_cluster,ST,CC131_clades,Duplicate,year,Lab,Hospital name,Regional health authority,Clermont_Phylotype,FimH,folP,gyrA,parC,gyrA_parC,parE,pmrB,blaTEM1,strB,sul2,strA,sul1,dfrA,tetA,tetB,aadA,mphA,dfrA1,aac3_Iia,catA1,dfrA5,CTX-M-type,CTX-M,dfrA14,blaOXA,aph3,catB3,acc,blaSHV,dfrA12,sul3,cmlA1,dfrA8,C_mefB,QnrS1,floR,Ampicillin_SIR,Aztreonam_SIR,Cefotaxim_SIR,Ceftazidim_SIR,Cefuroxim_SIR,Ciprofloxacin_SIR,Ciprofloxacin_NS,ESBL,Gentamicin_SIR,Meropenem_SIR,Nalidixin_SIR,Piperacillin_tazobactam_SIR,Sulfa_SIR,Tigecyklin_SIR,Tobramycin_SIR,Trimetoprim_sulfa_SIR
30134_6#112,ERR4034094,3,69,,,2009,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,,,,,,blaTEM1,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30134_6#113,ERR4034095,9,135,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#115,ERR4034096,4,131,B,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH298,,gyrA.S83L,,gyrA,parE.I529L,,blaTEM1,,,,,,tetA_4,,aadA2,,,,,,,,,,,,,,dfrA12,sul3,cmlA1,,C-mefB-like,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,R
30134_6#116,ERR4034097,11,10,,,2010,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,A,fimH54,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,dfrA14,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,,R
30134_6#117,ERR4034098,2,95,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH27,,gyrA.S83L,,gyrA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#119,ERR4034099,4,131,C1,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH30,,"gyrA.D87N, gyrA.S83L","parC.E84V,parC.S80I",gyrA and parC,parE.I529L,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,R,R,NS,-         ,S,S,,S,,S,,S
30134_6#120,ERR4034100,4,131,A,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,,,,parE.I529L,pmrB.V161G,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#121,ERR4034101,3,69,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,,,,,,blaTEM1,,,,sul1,dfrA17,,,,mphA,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R
30134_6#123,ERR4034102,11,10,,Duplicated in plate,2002,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,A,fimH54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#124,ERR4034103,8,127,,,2002,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#125,ERR4034104,11,34,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,A,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,,sul2,,,,tetA_4,,aadA2,,,,,,CTX-M-14,CTX-M,,,,,,,dfrA12,,cmlA1,,,,floR,R,,R,S,R,S,S,+,S,S,,S,,S,,R
30134_6#127,ERR4034105,13,59,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,F,fimH54,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#128,ERR4034106,12,88,,,2003,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,C,fimH39,,,,,,,blaTEM1,strB_3,sul2,strA_4,sul1,,tetA_4,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,,S,S,S,S,-         ,S,S,,S,,,,R
30134_6#129,ERR4034107,2,95,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH27,,,,,,,blaTEM1,,,,,,,,aadA2,,,,,,,,,,,,,,dfrA12,sul3,cmlA1,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R
30134_6#131,ERR4034108,11,10,,Duplicated in plate,2010,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,A,fimH54,,"gyrA.D87N, gyrA.S83L",parC.S80I,gyrA and parC,parE.L416F,,blaTEM1,strB_1,sul2,strA_4,,,,tetB_4,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,R,R,NS,-         ,S,S,R,R,,S,,R
30134_6#132,ERR4034109,11,43,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,A,fimH24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S
30134_6#135,ERR4034111,1,104,,,2006,Radiumhospitalet,Oslo universitetssykehus Radiumhospitalet,Helse Sør-Øst,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,,S,S,S,S,,,,S
30134_6#136,ERR4034112,2,95,,,2005,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#137,ERR4034113,3,69,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R
30134_6#139,ERR4034114,1,73,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH10,,,,,,,,,,,sul1,,,,aadA2,,,,,,,,,,,,,blaSHV48,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#14,ERR4034037,32,355,,,2012,Tønsberg,Sykehuset i Vestfold,Helse Sør-Øst,B2,fimH1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30134_6#140,ERR4034115,1,73,,,2008,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30134_6#141,ERR4034116,5,80,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH1,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#143,ERR4034117,29,491,,,2017,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,,S,S,-,S,S,,S,,S,,S
30134_6#144,ERR4034118,1,73,,,2009,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH30,,,,,,,blaTEM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30134_6#145,ERR4034119,4,131,C1,Triplicate from patient same ST,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH30,,"gyrA.D87N, gyrA.S83L","parC.E84V,parC.S80I",gyrA and parC,parE.I529L,,,,,,,,,,,,,,,,CTX-M-27,CTX-M,,,,,,,,,,,,,,R,,S,S,S,R,NS,-,S,S,,S,,S,,S
30134_6#147,ERR4034120,72,10256,,,2017,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,B1,not detected,,,,,,,blaTEM1,strB_1,sul2,strA_1,,dfrA17,,tetB_4,,,,,,,,,,,,,,,,,,,,,,R,,S,S,,S,S,,S,S,,S,,S,,R
30134_6#148,ERR4034121,1,73,,,2010,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH9,,,,,,,,,,,,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,R
30134_6#149,ERR4034122,27,399,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,A,fimH34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#15,ERR4034038,10,91,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30134_6#151,ERR4034123,18,405,,,2017,Haukeland,Haukeland universitetssykehus,Helse Vest,D,fimH27,,"gyrA.D87N, gyrA.S83L",parC.S80I,gyrA and parC,parE.S458A,,,,,,sul1,dfrA17,,,,,,,,,CTX-M-15,CTX-M,,,,,,,,,,,,,,R,,R,R,,R,NS,+,S,S,,I,,S,,R
30134_6#152,ERR4034124,5,537,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH117,,,,,,,,,,,,,tetA_4,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#153,ERR4034125,4,131,A,,2002,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,,,,parE.I529L,,blaTEM1,,,,sul1,dfrA7,,tetB_4,,,,,catA1,,,,,,,,,,,,,,,,,R,,,S,S,S,S,-         ,S,S,,S,,,,R
30134_6#154,ERR4034126,8,127,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#156,ERR4034127,9,135,,,2008,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30134_6#157,ERR4034128,1,73,,,2003,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#158,ERR4034129,1,73,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#160,ERR4034130,2,95,,,2006,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,S,S,S,-         ,S,S,S,S,,,,S
30134_6#161,ERR4034131,2,95,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S
30134_6#162,ERR4034132,3,69,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,dfrA5,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,S,,R
30134_6#164,ERR4034133,6,602,,,2005,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B1,fimH86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#165,ERR4034134,13,59,,,2005,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,F,fimH41,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#166,ERR4034135,2,95,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH27,,,,,,,,,,,,,tetA_4,,,,,,,dfrA5,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,R
30134_6#168,ERR4034136,2,95,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH30,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,S,S,,S,,S
30134_6#169,ERR4034137,3,106,,,2008,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH47,,,parC.S57T,parC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,,S,S,,S,,S
30134_6#170,ERR4034138,3,69,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,gyrA.S83L,,gyrA,,,,,,,sul1,,,tetB_4,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#172,ERR4034139,20,681,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,S
30134_6#173,ERR4034140,2,416,,,2009,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30134_6#174,ERR4034141,32,355,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#176,ERR4034142,9,135,,,2010,Fredrikstad,Sykehuset Østfold,Helse Sør-Øst,B2,fimH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,,S
30134_6#177,ERR4034143,1,73,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#178,ERR4034144,2,95,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,R,S,S,-,S,S,,S,,S,,S
30134_6#18,ERR4034039,2,95,,,2015,Levanger,Sykehuset i Levanger,Helse Midt-Norge,B2,fimH41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#180,ERR4034145,7,12,,,2005,Kristiansand,Sørlandet sykehus,Helse Sør-Øst,B2,fimH5,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,dfrA5,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,S,,S,,,,R
30134_6#181,ERR4034146,1,73,,,2003,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#182,ERR4034147,1,73,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH10,,gyrA.S83L,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA7,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,I,NS,-,S,S,,R,,S,,R
30134_6#185,ERR4034149,1,73,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH10,,,,,,,,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,S,S,S,,S,S,-         ,S,S,,S,,,,S
30134_6#186,ERR4034150,1,73,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH30,,,,,,,blaTEM1,,,,,,,,aadA2-like,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R
30134_6#188,ERR4034151,13,59,,,2011,Førde,Førde sentralsykehus,Helse Vest,F,fimH41,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#189,ERR4034152,13,59,,,2005,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,F,fimH41,,,,,parE.I355T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#19,ERR4034040,3,69,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,,,tetA_4,,,,,,,dfrA5,,,,,aph3,,,,,,,,,,,R,,S,S,S,S,S,-         ,I,S,,S,,S,,R
30134_6#190,ERR4034153,6,205,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B1,fimH24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30134_6#192,ERR4034154,3,69,,,2012,Førde,Førde sentralsykehus,Helse Vest,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,,,,,,,,,,,,,,,,,,,,,,,R,,I,S,S,S,S,-         ,S,S,,S,,S,,R
30134_6#193,ERR4034155,4,131,A,,2008,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,,,,parE.I529L,,blaTEM1,strB_1,sul2,strA_4,,dfrA17,,tetB_4,,,,,catA1,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,S,,S,S,,S,,R
30134_6#194,ERR4034156,1,73,,,2013,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH10,,,,,,,,,,,sul1,,,,aadA2-like,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,,S,,S,,S
30134_6#196,ERR4034157,3,69,,,2012,Førde,Førde sentralsykehus,Helse Vest,D,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,I,I,S,S,S,-         ,S,S,,S,,S,,I
30134_6#197,ERR4034158,2,421,,,2009,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,S,S,S,S,,S,S,S
30134_6#198,ERR4034159,3,69,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,tetA_4,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,R
30134_6#2,ERR4034031,11,10,,,2007,Tønsberg,Sykehuset i Vestfold,Helse Sør-Øst,A,fimH54,,gyrA.S83L,parC.S80R,gyrA and parC,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,tetB_4,,mphA,,aac3,,,,,,,aph3,,,,,,,,,,,R,S,S,S,S,I,NS,-         ,R,S,,S,,,,R
30134_6#200,ERR4034160,6,58,,,2016,Førde,Førde sentralsykehus,Helse Vest,B1,fimH54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#201,ERR4034161,19,117,,,2010,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,F,fimH97,,gyrA.S83L,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,sul1,,,,,,dfrA1,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,I,S,R,R,,S,,R
30134_6#202,ERR4034162,1,73,,,2014,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#205,ERR4034164,3,69,,,2011,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,gyrA.S83L,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,,,,tetB_4,,mphA,,,,,,,dfrA14,,,,,,,,,,,,,R,,S,S,S,I,NS,-         ,S,S,,S,,S,,R
30134_6#206,ERR4034165,73,4598,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,A,fimH1084,,gyrA.D87Y,,gyrA,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,dfrA14,,,,,,,,,,,QnrS1,,R,,S,S,S,R,NS,-,S,S,,R,,S,,R
30134_6#208,ERR4034166,4,131,C2,,2008,Ullevål,Oslo universitetssykehus Ullevål,Helse Sør-Øst,B2,fimH30,,"gyrA.D87N, gyrA.S83L","parC.E84V,parC.S80I",gyrA and parC,parE.I529L,,,,,,sul1,dfrA17,,tetB_4,,mphA,,aac3,catA1,,CTX-M-15,CTX-M,,blaOXA1,,catB3,aac_6prime,,,,,,,,,R,,R,R,R,R,NS,+         ,R,,R,I,,S,,R
30134_6#209,ERR4034167,6,162,,,2002,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B1,fimH32,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#210,ERR4034168,2,95,,,2015,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,,,,,,blaTEM1,strB_1,sul2,strA_4,,,,,,,,,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-,S,S,,S,,S,,S
30134_6#213,ERR4034170,19,117,,,2003,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,F,fimH97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,S,S,S,S,-         ,S,S,,S,,,,S
30134_6#214,ERR4034171,1,73,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH27,,,,,,,blaTEM1,,,,sul1,dfrA17,,tetB_4,,mphA,,aac3,,,,,,,,,,,,,,,,,,R,,S,S,S,S,S,-         ,R,S,,S,,S,,R
30134_6#217,ERR4034173,3,69,,,2004,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,D,fimH27,,,,,,,blaTEM1,strB_1,sul2,strA_4,sul1,dfrA17,,tetB_4,,mphA,,,catA1,,,,,,,,,,,,,,,,,S,S,S,S,,S,S,-         ,S,S,,S,,,,S
30134_6#218,ERR4034174,2,95,,,2012,Tromsø,Universitetssykehuset Nord-Norge,Helse Nord,B2,fimH41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,-         ,I,S,,S,,S,,S
30134_6#22,ERR4034041,9,141,,,2010,Haukeland,Haukeland universitetssykehus,Helse Vest,B2,fimH14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,S,S,S,S,S,,S,S,S,S,,S,,S
